id,name
8,Зюганов Геннадий Андреевич
9,Алферов Жорес Иванович
10,Андреев Андрей Анатольевич
11,Апарина Алевтина Викторовна
12,Афонин Юрий Вячеславович
13,Гаврилов Сергей Анатольевич
15,Гостев Руслан Георгиевич
16,Данилова Нина Петровна
17,Денисенко Олег Иванович
18,Езерский Николай Николаевич
19,Калашников Леонид Иванович
20,Кашин Борис Сергеевич
21,Кашин Владимир Иванович
22,Коломейцев Виктор Андреевич
23,Коломейцев Николай Васильевич
24,Комоедов Владимир Петрович
25,Корниенко Алексей Викторович
26,Куликов Александр Дмитриевич
27,Куликов Олег Анатольевич
28,Левченко Сергей Георгиевич
29,Локоть Анатолий Евгеньевич
30,Мельников Иван Иванович
31,Муравленко Сергей Викторович
32,Никитин Владимир Степанович
33,Аксаков Анатолий Геннадьевич
34,Беляков Антон Владимирович
35,Бесчетнов Константин Викторович
36,Абельцев Сергей  Николаевич
37,Афанасьева Елена Владимировна
38,Багдасаров Семен Аркадьевич
39,Бурков Александр Леонидович
40,Гартунг Валерий Карлович
41,Горячева Светлана Петровна
42,Новиков Дмитрий Георгиевич
43,Обухов Сергей Павлович
45,Паутов Виктор Николаевич
46,Плетнева Тамара Васильевна
47,Пономарёв Алексей Алексеевич
48,Разворотнев Николай Васильевич
49,Рашкин Валерий Федорович
50,Решульский Сергей Николаевич
51,Романов Валентин Степанович
52,Романов Петр Васильевич
53,Русских Алексей Юрьевич
54,Рябов Николай Федорович
55,Савицкая Светлана Евгеньевна
56,Сапожников Николай Иванович
57,Смолин Олег Николаевич
58,Собко Сергей Васильевич
59,Сокол Святослав Михайлович
60,Соловьев Вадим Георгиевич
62,Федоткин Владимир Николаевич
63,Харитонов Николай Михайлович
64,Чикин Валентин Васильевич
65,Ширшов Константин Владимирович
66,Штогрин Сергей Иванович
67,Шурчанов Валентин Сергеевич
68,Грачев Иван Дмитриевич
69,Грешневиков Анатолий Николаевич
71,Дмитриева Оксана Генриховна
72,Драпеко Елена Григорьевна
73,Емельянов Михаил Васильевич
74,Зубов Валерий Михайлович
75,Кузьмина Алла Владимировна
76,Левичев Николай Владимирович
77,Лекарева Вера Александровна
78,Ломакин-Румянцев Александр Вадимович
79,Мизулина Елена Борисовна
80,Миронов Сергей Михайлович
81,Михеев Олег Леонидович
82,Музыкаев Аднан Абдулаевич
83,Петров Сергей Анатольевич
84,Пономарев Илья Владимирович
85,Терентьев Александр Васильевич
86,Тумусов Федот Семенович
87,Хованская Галина Петровна
88,Волчек Денис Геннадьевич
89,Жириновский Владимир Вольфович
90,Журко Василий Васильевич
91,Иванов Сергей Владимирович
92,Коган  Юрий Владимирович
93,Лебедев  Андрей Ярославович
94,Лебедев Игорь Владимирович
95,Луговой Андрей Константинович
96,Маркин Эдуард Витальевич
98,Напсо Юрий Аисович
99,Нилов Ярослав Евгеньевич
100,Островский Алексей Владимирович
101,Рохмистров Максим Станиславович
102,Свищев Дмитрий Александрович
103,Селезнев Валерий Сергеевич
105,Слуцкий Леонид Эдуардович
106,Тарасюк Василий Михайлович
107,Таскаев Владимир Павлович
108,Фургал Сергей Иванович
109,Черкасов Кирилл Игоревич
110,Черешнев Валерий Александрович
111,Четвериков Александр Владимирович
112,Шеин Олег Васильевич
113,Шудегов Виктор Евграфович
114,Абрамов Виктор Семенович
115,Амирилаев Адам Баширович
116,Аникеев Григорий Викторович
117,Антонов Роман Валерьевич
118,Аршба Отари Ионович
119,Бабич Михаил Викторович
120,Балыхин Григорий Артёмович
121,Баринов Игорь Вячеславович
122,Беднов Александр Викторович
123,Бобырев Валентин Васильевич
124,Гудков Геннадий Владимирович
125,Яровая Ирина Анатольевна
126,Исаев Юрий Олегович
127,Кабаева Алина Маратовна
129,Кабанова Валентина Викторовна
130,Казаков Виктор Алексеевич
131,Казарин Виктор Николаевич
132,Карелин Александр Александрович
133,Карелова Галина Николаевна
134,Кармазина Раиса Васильевна
135,Карпович Наталья Николаевна
136,Квитка Иван Иванович
137,Кидяев Виктор Борисович
138,Клименко Владимир Витальевич
139,Климов Андрей Аркадьевич
140,Клинцевич Франц Адамович
141,Кобзон Иосиф Давыдович
142,Ковалев Николай Дмитриевич
143,Коган Александр Борисович
144,Кокошин Андрей Афанасьевич
145,Косачев Константин Иосифович
146,Кравченко Валерий Николаевич
147,Крашенинников Павел Владимирович
148,Крупенников Владимир Александрович
149,Кузьмичева Екатерина Ивановна
150,Кулик Геннадий Васильевич
152,Лахова Екатерина Филипповна
153,Лебедев Олег Владимирович
154,Липатов Юрий Александрович
155,Плигин Владимир Николаевич
156,Макаров Андрей Михайлович
157,Попов Сергей Александрович
158,Максимова Надежда Сергеевна
159,Резник Борис Львович
160,Малашенко Виктор Александрович
161,Мединский Владимир Ростиславович
162,Резник Владислав Матусович
163,Васильев Юрий Викторович
164,Роднина Ирина Константиновна
165,Руденский Игорь Николаевич
166,Савченко Евгений Степанович
167,Вахаев Хож Магомед Хумайдович
168,Волков Юрий Николаевич
169,Вяткин Дмитрий Федорович
170,Габдрахманов Ильдар Нуруллович
171,Гаджиев Магомед Тажудинович
172,Гальченко Валерий Владимирович
173,Гасанов Магомедкади Набиевич
174,Герасименко Николай Федорович
175,Герасимова Надежда Васильевна
176,Гильмутдинов Ильдар Ирекович
177,Говорухин Станислав Сергеевич
178,Голиков Георгий Георгиевич
179,Головнёв Владимир Александрович
180,Голушко Андрей Иванович
181,Гольдштейн Ростислав Эрнстович
183,Яковлева  Татьяна  Владимировна
184,Яковлева Лариса Николаевна
185,Язев Валерий Афонасьевич
187,Южилин Виталий Александрович
188,Эркенов Ахмат Чокаевич
189,Шхагошев Адальби Люлевич
190,Шуба Виталий Борисович
192,Шойгу Сергей Кужугетович
193,Шлегель Роберт Александрович
194,Богуславский Ирек Борисович
195,Борзова Ольга Георгиевна
196,Борцов Николай Иванович
197,Бочаров Андрей Иванович
198,Булавинов Вадим Евгеньевич
199,Булаев Николай Иванович
200,Бурыкина Наталья Викторовна
201,Валенчук Олег Дорианович
202,Варшавский Вадим Евгеньевич
203,Васильев Владимир Абдуалиевич
204,Михалев Борис Владимирович
205,Морозов Олег Викторович
206,Мукабенова Марина Алексеевна
207,Мурзабаева Салия Шарифьяновна
208,Мусалимов Николай Николаевич
210,Муцоев Зелимхан Аликоевич
211,Неверов Сергей Иванович
213,Осипов Вячеслав Константинович
214,Панина Елена Владимировна
215,Панков Николай Васильевич
218,Пепеляева Лиана Витальевна
220,Петров Сергей Валериевич
221,Пехтин Владимир Алексеевич
222,Пивненко Валентина Николаевна
223,Гончар Николай Николаевич
225,Гридин Владимир Григорьевич
226,Гришанков Михаил Игнатьевич
227,Грызлов Борис Вячеславович
228,Гутенев Владимир Владимирович
229,Делимханов Адам Султанович
230,Демченко Иван Иванович
231,Саблин Дмитрий Вадимович
232,Школкина Надежда Васильевна
233,Савельев Дмитрий Владимирович
234,Шишкин Александр Геннадьевич
235,Шихсаидов Хизри Исаевич
236,Самойлов Евгений Александрович
239,Шаккум Мартин Люцианович
240,Друсинов Валентин Дмитриевич
241,Езубов Алексей Петрович
242,Железняк Сергей Владимирович
243,Жолобов Олег Владимирович
244,Журова Светлана Сергеевна
245,Заварзин Виктор Михайлович
246,Зубарев Виктор Владиславович
247,Сафаралиев Гаджимет Керимович
249,Семёнова Екатерина Юрьевна
251,Скоч Андрей Владимирович
252,Соколова Ирина Валерьевна
253,Степанова Зоя Михайловна
255,Юсупов Марсель Харисович
256,Скруг Валерий Степанович
257,Тарасенко Михаил Васильевич
259,Терентьев Михаил Борисович
260,Тимченко Вячеслав Степанович
261,Скоробогатько Александр Иванович
262,Симановский Леонид Яковлевич
263,Третьяк Владислав Александрович
264,Сибагатуллин Фатих Саубанович
265,Толстопятов Василий Васильевич
266,Зубицкий Борис Давыдович
267,Игошин Игорь Николаевич
268,Изотова Галина Сергеевна
269,Исаев Андрей Константинович
270,Исаев Ризвангаджи Абдулаевич
271,Водолацкий Виктор Петрович
272,Воробьев  Андрей Юрьевич
273,Ткачев Алексей Николаевич
274,Глубоковская Эльмира Гусейновна
275,Касьянов Игорь Николаевич
276,Старшинов Михаил Евгеньевич
277,Шестаков Василий Борисович
279,Чижов Сергей Викторович
280,Чайка Валентин Васильевич
282,Хор Глеб Яковлевич
283,Хинштейн Александр Евсеевич
284,Хамчиев Белан Багаудинович
285,Хайруллин Айрат Назипович
286,Фокин Александр Иванович
287,Федоров Евгений Алексеевич
289,Фахритдинов Иршат Юнирович
290,Савченко Олег Владимирович
291,Шойгу Лариса Кужугетовна
294,Антипов Сергей Николаевич
296,Волчек Геннадий Борисович
298,Сухенко Константин Эдуардович
299,Максюта Николай Кириллович
300,Нарышкин Сергей Евгеньевич
301,Сердюк Михаил Иванович
302,Ушаков Геннадий Владимирович
303,Петухова Наталья Рэмовна
304,Нилов Олег Анатольевич
305,Агеев Александр Александрович
306,Швецов Василий Георгиевич
307,Зотов Игорь Львович
308,Казаков Алексей Валерьевич
309,Носовко Геннадий Сергеевич
311,Гудков Дмитрий Геннадьевич
312,Гасанов Джамаладин Набиевич
313,Шеин Анатолий Алексеевич
315,Москалькова Татьяна Николаевна
316,Романович Александр Леонидович
318,Горовцов Дмитрий Евгеньевич
319,Ванчугов Роман Анатольевич
320,Доронин Сергей Александрович
321,Брячак Михаил Васильевич
322,Крутов Андрей Дмитриевич
323,Озеров Андрей Александрович
324,Пахолков Олег Владимирович
325,Митрофанов Алексей Валентинович
326,Чепа Алексей Васильевич
327,Селиванов Юрий Алексеевич
328,Епифанова Ольга Николаевна
329,Кузьмин  Александр  Сергеевич
330,Оганян Оганес Арменакович
331,Машкарин Владимир  Петрович
332,Руденко Андрей Викторович
333,Харлов Вадим Борисович
334,Ильковский Константин Константинович
335,Лакутин Николай Афанасьевич
336,Левин Леонид Леонидович
337,Туманов Андрей Владимирович
338,Диденко Алексей Николаевич
339,Калашников Сергей Вячеславович
340,Сухарев Иван Константинович
341,Старовойтов Александр Сергеевич
342,Маринин Сергей Владимирович
343,Абрамов  Иван  Николаевич
344,Маркин Андрей Леонидович
346,Юрченко Василий Алексеевич
347,Кулиева Василина Васильевна
348,Кропачев Александр Сергеевич
349,Овсянников  Владимир  Анатольевич
350,Носов Дмитрий Юрьевич
351,Калюжный Руслан Валерьевич
352,Дроздов Илья Юрьевич
353,Чиркова Ирина Александровна
355,Золочевский Виталий Сергеевич
356,Литвинцев Дмитрий Алексеевич
357,Каргинов Сергей Генрихович
358,Журавлев Сергей Валерианович
359,Сироткин Сергей Никанорович
360,Савельев Дмитрий Иванович
361,Ананских Игорь Александрович
362,Жигарев Сергей Александрович
363,Курдюмов Александр Борисович
364,Деньгин Вадим Евгеньевич
365,Зелинский Ян Викторович
366,Свиридов Валентин Валентинович
367,Дегтярев Михаил Владимирович
368,Ищенко Антон Анатольевич
369,Субботин Константин Сергеевич
370,Балберов Александр Александрович
371,Шингаркин Максим Андреевич
372,Свергунова Маргарита Николаевна
373,Соболев Виктор Васильевич
374,Вайнштейн Сергей Евгеньевич
375,Свинцов Андрей Николаевич
376,Черкесов Виктор Васильевич
377,Тайсаев Казбек Куцукович
378,Ющенко Александр Андреевич
379,Тычинин Андрей Джафарович
380,Мархаев Вячеслав Михайлович
381,Бифов Анатолий Жамалович
382,Кочиев Роберт Иванович
383,Лихачев Василий Николаевич
384,Пешков Виктор Петрович
385,Заполев Михаил Михайлович
386,Юрченко Сергей Иванович
387,Поздняков Владимир Георгиевич
388,Осадчий Николай Иванович
389,Гайзер Вячеслав Михайлович
390,Берулава Михаил Николаевич
391,Громов Борис Всеволодович
392,Хороля Дмитрий Оттович
393,Кузьминых Тамара Гавриловна
396,Кобылкин Дмитрий Николаевич
397,Маркелов Леонид Игоревич
398,Меркушкин Николай Иванович
399,Важенин Юрий Иванович
400,Гончаров Виктор Иванович
402,Ефимов Виталий Борисович
403,Арефьев Николай Васильевич
404,Васильцов Сергей Иванович
406,Комарова Наталья Владимирована
407,Борисов Егор Афанасьевич
408,Рульков Евгений Адамович
410,Комоцкий Борис Олегович
411,Мамаев Сергей Павлинович
412,Иванов Николай Николаевич
413,Потомский Вадим Владимирович
414,Васильев Николай Иванович
416,Козак Дмитрий Николаевич
417,Выборный Анатолий Борисович
418,Жарков Антон Викторович
419,Кожевникова Мария Александровна
420,Никонов Вячеслав Алексеевич
421,Мамсуров Таймураз Дзамбекович
422,Хадарцев Махарбек Хазбиевич
423,Минниханов Рустам Нургалиевич
424,Мухаметшин Фарид Хайруллович
425,Сойникова Марина Николаевна
426,Королев Олег Петрович
427,Лысаков Вячеслав Иванович
428,Шанцев Валерий Павлинович
429,Сафин Марат Мубинович
430,Митин Сергей Герасимович
431,Мануйлова Ирина Викторовна
432,Дорофеев Сергей Борисович
434,Шрейдер Виктор Филиппович
435,Берг Юрий Александрович
436,Бариев Марат Мансурович
437,Ильясов Радик Сабитович
438,Хайров Ринат Шамильевич
439,Сидякин Александр Геннадьевич
440,Абубакиров Ришат Фазлутдинович
441,Галимарданов Марсел Магфурович
