2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,region
8070,9421,12051,14859,19282,23223,29742,42594,51299,49313,48035,42201,46359,49330,50919,52190,53558,56516,Российская Федерация
5955,7723,10487,12784,16449,20162,28191,43320,54815,55059,59206,46665,53357,55998,56630,58310,54792,52757,Российская Федерация
10663,12210,14688,19332,26640,32294,40083,55520,67201,64316,63816,51521,54997,57624,57559,58321,64104,71803,Центральный федеральный округ
7963,9707,13167,17130,22460,26185,41673,64773,81518,86326,96629,70175,82523,85607,84414,82258,75076,70573,Центральный федеральный округ
5111,5785,7509,10586,12735,15092,19710,29827,40886,42394,39416,39561,45673,52380,54786,52148,50829,52867,Белгородская область
3876,5019,6032,8921,11410,13691,18337,27244,37232,37865,35193,31445,37761,48246,52765,51634,44702,49028,Белгородская область
4658,4678,7777,9502,12890,14753,15971,23140,31619,32472,31347,28157,31178,30655,31960,31223,33679,32305,Брянская область
3885,4276,7734,9897,13097,15998,17127,25183,37409,33772,31575,29196,32146,35530,40938,32298,42974,38449,Брянская область
4797,5955,8622,11127,14716,16807,21808,30422,39885,37664,36996,37452,39587,38485,40495,40075,37133,35022,Владимирская область
4360,5520,8186,9887,13952,15151,20956,28534,40519,34808,35023,34377,39347,43918,43924,44530,43349,40857,Владимирская область
4535,5502,7054,9553,12139,13543,16515,25544,34057,34399,34858,34275,38237,39771,43348,43681,44371,42529,Воронежская область
4861,5260,6902,8356,10838,13057,17568,24193,32314,33236,33067,35008,41002,47716,46871,49373,46300,44066,Воронежская область
4707,5311,7221,9725,10994,12419,15969,29726,31270,27560,32303,33143,33065,35186,36841,38172,39507,37070,Ивановская область
2779,3839,6161,7808,9104,10731,14805,28549,32654,30858,30215,32849,33941,39400,43938,44754,42642,40178,Ивановская область
7228,7356,10578,12884,14593,17159,24146,33552,53983,46242,45319,47332,49476,49381,49286,49473,48363,48913,Калужская область
4719,5179,7889,10854,14436,17028,22106,35151,56592,55054,47757,50328,51855,59001,57126,57449,52417,51276,Калужская область
4281,5286,8034,9992,11184,14971,18679,31312,38271,30638,29995,31788,32646,32953,34592,37413,33428,33450,Костромская область
3550,4563,5732,7520,10744,14136,17757,37132,40688,34421,33270,32386,39326,39988,41446,44737,41413,40636,Костромская область
3949,5887,6442,8067,10318,13982,15974,24062,29716,28812,27316,27662,30219,32464,38154,38942,34427,35115,Курская область
3403,3689,5288,8500,25488,13283,25488,22902,33647,29216,28953,29085,32083,36761,40662,42786,39679,37871,Курская область
4405,5579,7704,9583,13564,16971,19947,29327,38026,32189,32482,35393,37764,42768,39397,38221,36163,34639,Липецкая область
4502,5771,8186,10887,14717,16268,21395,32730,50799,32013,37442,38126,41216,46279,47871,48037,41056,39305,Липецкая область
9106,11504,13259,16698,19222,21368,30986,42481,58606,64227,60054,66722,75641,73876,82465,80392,78661,77692,Московская область
7119,8509,10992,14642,18138,21543,32465,45733,67111,67903,64327,65359,69126,71142,70868,76818,73243,58268,Московская область
6667,7634,9509,10655,12706,14424,16808,22686,29969,29758,30046,28264,32491,36697,37791,36924,35234,33731,Орловская область
4845,5535,8607,10101,11419,13380,15441,21050,31753,27814,29244,28396,29421,33378,37554,35701,34994,33390,Орловская область
6130,6974,9253,10401,11673,14396,19214,32585,39592,36771,37996,33987,34981,35722,39108,38502,37384,38299,Рязанская область
5197,6387,9585,11335,13337,17617,21494,35334,39636,38999,38025,40660,42814,45032,46765,48797,41481,40955,Рязанская область
5854,5750,6363,8304,11374,12664,17517,25025,31536,29524,31018,32950,37723,41834,41261,42110,38604,39286,Смоленская область
5034,5463,6948,8340,11230,13528,18461,27665,34911,31826,28233,31392,34423,32934,37338,38810,36347,35676,Смоленская область
4636,5828,7683,10051,11006,12760,16043,24694,30517,28696,28853,26791,30625,37962,37961,36724,34341,32754,Тамбовская область
4317,4845,7482,9950,10667,12600,16120,25781,31991,30181,29504,30561,31311,36254,43007,43109,40523,36682,Тамбовская область
7228,8072,10649,12200,16948,17670,23914,32553,58605,44328,50040,42356,45794,49941,51520,50688,48581,46536,Тверская область
4920,6000,8774,9838,15545,17474,25412,32204,54478,42247,46335,46776,51319,53415,52814,51406,47641,45209,Тверская область
5618,6271,8280,10725,14420,18524,20959,30486,41205,43821,44397,41187,41167,43857,47802,48157,45717,48670,Тульская область
4978,5200,6445,8773,13250,16447,18079,26988,36411,37808,40012,38101,39581,43519,43463,50702,46968,46989,Тульская область
5684,7629,10876,14512,17591,19118,25512,42308,44142,40301,37972,39867,45814,52981,53885,52133,46108,47096,Ярославская область
5469,7693,11974,13388,17566,19383,20736,36872,42880,40710,39959,39288,44496,53524,55396,50878,48213,45192,Ярославская область
15714,20472,23001,31259,44695,56171,74163,106976,123213,132510,142803,126535,130983,143490,170069,172923,153496,157516,г.Москва
14765,18291,24236,31803,41008,48492,75901,123291,145779,163062,166927,163426,168869,183240,183080,192986,183086,175603,г.Москва
8239,9180,11537,14912,20710,23450,30089,51641,64957,68772,56002,50908,57811,66849,69666,67866,73480,75066,Северо-Западный федеральный округ
6285,7583,9150,11875,18671,21415,26572,40664,53534,59276,62717,47750,47352,54317,54834,54550,53626,52706,Северо-Западный федеральный округ
4533,4977,7674,11319,14797,15551,18755,28864,42612,44808,44209,45160,48383,50774,49981,49577,49549,49346,Республика Карелия
5151,5992,7403,9143,13634,14894,19099,34784,42839,41571,41041,42028,48593,51085,48817,48745,49277,46121,Республика Карелия
4049,6836,8781,11477,13297,18998,24660,43149,43058,38909,39082,41363,51422,56567,60880,55931,52100,48280,Республика Коми
3869,6105,8257,10168,13267,19451,25119,44169,46389,40761,39832,41398,46028,57584,59025,59469,58168,56904,Республика Коми
5000,6790,9601,12684,14793,22033,22940,38512,38830,40556,38919,45125,50679,56019,57657,55966,57615,57403,Архангельская область
2858,4644,7206,9081,14741,16363,18422,37453,41520,38277,37564,48849,55125,61787,63176,64178,58814,58820,Архангельская область
48631,48631,48631,48631,48631,32908,33156,38115,43925,58583,65500,56660,54417,54417,48631,48631,48631,48631,Ненецкий автономный округ
53911,4980,53911,53911,18933,23168,28186,40603,54109,59972,67140,64447,65283,70454,75633,82732,82889,70145,Ненецкий автономный округ
57139,57139,57139,57139,57139,57139,57139,57139,57139,57139,57139,57139,57139,57054,57657,55966,57615,57403,Архангельская область (без автономного округа)
60748,60748,60748,60748,60748,60748,60748,60748,60748,60748,60748,60748,60748,61079,62291,63395,58320,58657,Архангельская область (без автономного округа)
4263,6722,8512,10062,16400,17279,21813,37223,40741,35516,32559,37380,40920,42991,43739,42267,38595,37948,Вологодская область
3916,6402,7832,9195,15655,17348,21979,37915,41996,39223,35516,37374,41422,48654,45641,41527,38656,36872,Вологодская область
38481,38481,38481,38481,12852,15598,18582,37701,43762,49662,39797,38933,42131,44725,43678,48024,52438,50861,Калининградская область
7311,8039,8875,11161,11492,13244,15734,25220,38160,42001,37664,34315,41484,44305,46160,50024,52348,51756,Калининградская область
5214,5786,7576,9874,15382,17719,20030,29126,45113,56487,51013,48017,49327,52537,52048,55513,54221,53681,Ленинградская область
4242,5216,6597,9184,14501,17232,19382,28878,38233,48269,45518,44982,48853,55255,59104,61452,55955,53734,Ленинградская область
9376,10509,9942,9942,9942,9942,9942,9942,9942,9942,9942,9942,9942,9942,9942,9942,9942,9942,Мурманская область
2457,3344,4303,6649,9147,11510,15520,22386,26280,28754,23625,29759,33472,40046,46069,52052,49556,47049,Мурманская область
4353,5883,8010,11649,12410,13781,17128,27947,33523,33565,35135,35734,39436,44787,43948,43243,39848,39984,Новгородская область
4654,5685,7421,10083,12165,14263,16889,30253,35273,35777,35103,33475,35677,42079,44690,46861,43032,39844,Новгородская область
4695,5957,7071,9295,14656,15968,18206,27145,39154,32331,35589,33093,36167,37351,39466,40954,39866,38854,Псковская область
3971,5193,6583,7804,14136,14194,15878,26517,36652,31398,32690,35415,35646,39562,42947,43320,38632,37678,Псковская область
10772,12312,15048,19364,27309,30207,37255,68646,90598,92546,79327,78435,85090,97889,99961,94114,94936,97832,г.Санкт-Петербург
9615,10751,12304,16102,26943,30323,37747,52898,74850,87807,83749,88279,81060,85596,89737,81048,89869,88180,г.Санкт-Петербург
5852,7043,9439,11356,13349,16020,20142,27932,39325,38715,18917,18917,18917,18917,18917,18917,18917,18917,Южный федеральный округ (по 2009 год)
5028,5808,7780,10393,12758,15708,19454,27934,42735,41403,18900,18900,18900,18900,18900,18900,18900,18900,Южный федеральный округ (по 2009 год)
40877,40877,40877,40877,40877,40877,40877,40877,40877,40877,39239,37186,40323,40852,41688,43587,43265,40877,Южный федеральный округ (с 2010 года)
49537,49537,49537,49537,49537,49537,49537,49537,49537,49537,47272,44730,47825,49053,51228,53054,53597,49537,Южный федеральный округ (с 2010 года)
43839,43839,43839,43839,43839,43839,43839,43839,43839,43839,43839,43839,43839,43839,43839,43839,43839,43839,Южный федеральный округ (с 29.07.2016)
53925,53925,53925,53925,53925,53925,53925,53925,53925,53925,53925,53925,53925,53925,53925,53925,53925,53925,Южный федеральный округ (с 29.07.2016)
4000,5487,8449,9069,11774,13487,15876,21346,28337,32122,26801,29543,30871,32047,32401,36155,32980,33761,Республика Адыгея
2684,4143,5355,7146,8343,9742,12505,19312,28666,28329,27307,28373,28457,33236,36942,37325,34948,35073,Республика Адыгея
4443,5405,5644,7429,10687,12420,13195,15247,18338,21393,22103,23716,24785,24853,28859,29876,29661,29611,Республика Калмыкия
3310,4125,4206,5978,9423,11854,12707,14087,19329,22770,25806,29580,33236,35203,37791,40316,36519,36900,Республика Калмыкия
48489,48489,48489,48489,48489,48489,48489,48489,48489,48489,48489,48489,48489,48489,48489,48489,46389,50589,Республика Крым
51573,51573,51573,51573,51573,51573,51573,51573,51573,51573,51573,51573,51573,51573,51573,51573,49213,53934,Республика Крым
7119,8614,10525,13390,14561,17907,24979,34886,46020,41693,40043,38456,40843,40921,41433,43880,42984,42593,Краснодарский край
6825,7607,9248,11622,14521,17793,24257,38732,59461,53131,55337,51366,47981,50793,52577,57182,57429,57113,Краснодарский край
0,5994,8266,9910,11038,12758,17033,20606,34048,40876,31493,33604,32485,35225,37000,41635,41647,41981,Астраханская область
4097,5083,6528,9061,10203,12143,14693,19315,32985,32192,28949,27885,32584,34985,39133,44744,43710,36513,Астраханская область
5247,5475,8060,9357,12148,15790,21305,28669,45790,41313,35349,37579,37871,40261,39720,40831,39634,39835,Волгоградская область
5069,5398,8218,10046,11743,15327,20398,28342,50763,41182,38514,33945,33922,40053,41098,40390,40012,38482,Волгоградская область
6640,6914,9761,11538,13654,17589,20336,27274,39270,43125,41989,44271,46011,47684,49454,47317,46776,48148,Ростовская область
5177,6435,9127,11657,14853,18807,22858,33221,41996,48546,42740,44289,50051,52590,54485,53888,54031,54032,Ростовская область
61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,61498,59027,63970,г. Севастополь
70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,70978,75728,66228,г. Севастополь
31869,31869,31869,31869,31869,31869,31869,31869,31869,31869,29029,28727,28115,31100,32335,35308,35632,34712,Северо-Кавказский федеральный округ
33029,33029,33029,33029,33029,33029,33029,33029,33029,33029,31852,26773,29041,30809,30037,37810,38868,39046,Северо-Кавказский федеральный округ
25549,25549,25549,25549,25549,12379,12501,19442,27743,25665,28418,27695,26747,30095,22785,30687,31685,36304,Республика Дагестан
4504,5781,7135,15372,18043,18279,17715,23098,43147,37573,38154,35005,35683,35879,37080,44528,46060,46480,Республика Дагестан
44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,44073,49528,41703,40990,Республика Ингушетия
2999,4572,6150,7268,7804,7853,8316,18901,17357,17278,19513,22308,25284,29885,27498,38566,34491,34075,Республика Ингушетия
